epochs,g_loss,d_loss,l1_loss,ssim_loss,perceptual_loss,adversarial_loss,total_loss,val_qnmi,val_qg,val_qcb,val_qpiella,val_ssim,val_psnr,val_combined_score,lr_generator,lr_discriminator,epoch_time
1,2.4739788472652435,0.8033415794372558,0.7036662489175797,0.7629517912864685,13.80181872844696,0.8654830247163773,2.4739788472652435,0.1508071116774837,0.48024187088012693,0.6576219632151025,0.31529408097267153,0.3045881986618042,0.4763521373271942,0.38171064508143776,0.001,0.001,63.64375710487366
2,1.6677534341812135,0.7543214946985245,0.5152565449476242,0.557783442735672,8.64029893875122,0.9575263381004333,1.6677534341812135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088,0.00088,41.74149203300476
3,1.6124283790588378,0.6999958276748657,0.5390736311674118,0.5777063101530076,7.771479630470276,0.7353612095117569,1.6124283790588378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088,0.00088,41.8086199760437
4,1.4887410938739776,0.7017986863851547,0.5125231191515922,0.5247673511505127,7.063685882091522,0.7465702384710312,1.4887410938739776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007744000000000001,0.0007744000000000001,42.87252402305603
5,1.4342377841472627,0.7031567364931106,0.4961568608880043,0.5060318171977997,6.774479269981384,0.7617067515850067,1.4342377841472627,0.23045881032367235,0.5938424348831177,0.9064536699308029,0.5425000488758087,0.5583513081073761,4.019805288314819,0.5663212544241556,0.0007744000000000001,0.0007744000000000001,61.644814014434814
6,1.483405315876007,0.6879140168428421,0.5228110536932945,0.5467552334070206,6.795268440246582,0.7689793407917023,1.483405315876007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000681472,0.000681472,42.37822365760803
7,1.4461175322532653,0.658428630232811,0.5143651247024537,0.5051827400922775,6.698355722427368,0.9325484961271286,1.4461175322532653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000681472,0.000681472,40.276756048202515
8,1.4217878729104996,0.7192561119794846,0.5046486794948578,0.5040080457925796,6.564607572555542,0.8674413442611695,1.4217878729104996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00059969536,0.00059969536,45.703107833862305
9,1.312743854522705,0.6795718044042587,0.4673570811748505,0.45484793484210967,6.10091894865036,0.7870913326740265,1.312743854522705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00059969536,0.00059969536,50.04592776298523
10,1.348067080974579,0.7007748305797576,0.48653611317276957,0.487730011343956,6.0941519975662235,0.825074753165245,1.348067080974579,0.2042464607617306,0.6463724136352539,0.8517768973153974,0.5056994557380676,0.5398395299911499,3.1108606576919557,0.5495869514883199,0.0005277319168,0.0005277319168,66.73866534233093
11,1.2654890328645707,0.6753016650676728,0.4547374740242958,0.43899808526039125,5.8328989267349245,0.7962607741355896,1.2654890328645707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005277319168,0.0005277319168,49.392618894577026
12,1.2564910411834718,0.6640069037675858,0.4486250042915344,0.4328624099493027,5.832421457767486,0.8192686706781387,1.2564910411834718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000464404086784,0.000464404086784,71.37128496170044
13,1.2475312054157257,0.6684145033359528,0.45533369183540345,0.4435095816850662,5.620615899562836,0.8381105661392212,1.2475312054157257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000464404086784,0.000464404086784,62.75896978378296
14,1.241965252161026,0.6519142359495163,0.45129175633192065,0.4246424585580826,5.697444760799408,0.8607794642448425,1.241965252161026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040867559636991997,0.00040867559636991997,55.66955280303955
15,1.234278616309166,0.6726841330528259,0.45098015367984773,0.432960444688797,5.583490300178528,0.8469200193881988,1.234278616309166,0.22940977711029098,0.6409366369247437,0.9076988296450589,0.6010146498680115,0.6469053268432617,4.370046091079712,0.6051930440782733,0.00040867559636991997,0.00040867559636991997,53.494473934173584
16,1.2500684529542923,0.6748143017292023,0.4609725132584572,0.4400859385728836,5.603613781929016,0.8691567063331604,1.2500684529542923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035963452480552955,0.00035963452480552955,40.05850005149841
17,1.1715363711118698,0.6409631639719009,0.42363546788692474,0.38798557221889496,5.450429701805115,0.8865128427743911,1.1715363711118698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035963452480552955,0.00035963452480552955,62.93510913848877
18,1.192567452788353,0.6179862499237061,0.4392960906028748,0.41434051990509035,5.367936503887177,0.930744218826294,1.192567452788353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000316478381828866,0.000316478381828866,54.11740803718567
19,1.173370721936226,0.6091395735740661,0.43651674389839173,0.3874430388212204,5.334446775913238,0.9687760502099991,1.173370721936226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000316478381828866,0.000316478381828866,47.18577980995178
20,1.1936453491449357,0.6062065228819847,0.4378957599401474,0.409282848238945,5.411120212078094,0.9996112555265426,1.1936453491449357,0.23266396528110111,0.7062772035598754,0.9341961752299921,0.624799382686615,0.6642661690711975,4.1767885208129885,0.6324405791657562,0.0002785009760094021,0.0002785009760094021,65.70414400100708
